R-DRE-69278	Cell Cycle, Mitotic	311	331	1	1	1	1	1	1	1	1	1	16	330	4555	0.6797	0.69593	1.0	0.3	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-73857	RNA Polymerase II Transcription	536	563	5	5	2	5	5	5	5	2	2	15	561	4324	0.69077	0.59751	1.0	0.36	378866;30079	ddit4;btg2	ENSDARG00000037618;ENSDARG00000020298		0.04364205	0.04364205	0.0409535	0.003802183873118098	0.04224711405040384	0.0032503706862523187	0.025466049999999997	0.025466049999999997	0.0245184	0.0013401794823829482	0.02497436821887828	0.0011456784440783353	0.0748353	0.0748353	0.0684052	0.00909353462741526	0.07149908618604889	0.007773784586364808									0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0	2	0															2	378866;30079	ENSDARG00000037618;ENSDARG00000020298	0.04364205	0.04364205	0.003802183873118098	0.025466049999999997	0.025466049999999997	0.0013401794823829482	0.0748353	0.0748353	0.00909353462741526	0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0						Linear,2(1)	1.800184352670729	3.618232250213623	1.6295682191848755	1.9886640310287476	0.2539190836504905	1.8091161251068115	0.038372492	0.048911608	0.023608656	0.027323443999999995	0.062232303999999995	0.087438296	DOWN	0.0	1.0	0.0	
R-DRE-74160	Gene expression (Transcription)	597	624	5	5	2	5	5	5	5	2	2	15	622	4263	0.62964	0.65669	1.0	0.32	378866;30079	ddit4;btg2	ENSDARG00000037618;ENSDARG00000020298		0.04364205	0.04364205	0.0409535	0.003802183873118098	0.04224711405040384	0.0032503706862523187	0.025466049999999997	0.025466049999999997	0.0245184	0.0013401794823829482	0.02497436821887828	0.0011456784440783353	0.0748353	0.0748353	0.0684052	0.00909353462741526	0.07149908618604889	0.007773784586364808									0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0	2	0															2	378866;30079	ENSDARG00000037618;ENSDARG00000020298	0.04364205	0.04364205	0.003802183873118098	0.025466049999999997	0.025466049999999997	0.0013401794823829482	0.0748353	0.0748353	0.00909353462741526	0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0						Linear,2(1)	1.800184352670729	3.618232250213623	1.6295682191848755	1.9886640310287476	0.2539190836504905	1.8091161251068115	0.038372492	0.048911608	0.023608656	0.027323443999999995	0.062232303999999995	0.087438296	DOWN	0.0	1.0	0.0	
R-DRE-8876198	RAB GEFs exchange GTP for GDP on RABs	46	46	1	0	0	0	0	0	1	0	0	17	46	4839	0.85168	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8953897	Cellular responses to stimuli	315	351	1	1	1	0	0	0	1	0	0	17	351	4534	0.28219	1.0	0.62871	0.0																																		0	0	0															0															0																							
R-DRE-9006925	Intracellular signaling by second messengers	169	175	2	1	1	2	2	1	2	0	0	17	175	4710	0.53847	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9006934	Signaling by Receptor Tyrosine Kinases	254	254	4	3	2	3	3	2	4	0	0	17	254	4631	0.40413	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9007101	Rab regulation of trafficking	67	67	1	0	0	0	0	0	1	0	0	17	67	4818	0.79109	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9711123	Cellular response to chemical stress	112	119	1	1	1	0	0	0	1	0	0	17	119	4766	0.65805	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-211945	Phase I - Functionalization of compounds	61	61	4	3	3	3	3	3	4	2	2	15	59	4826	0.9989	0.018373	0.018373	3.28	563369;103909721	cyp2r1;fo904880.1	ENSDARG00000056587;ENSDARG00000110366		0.024000260000000002	0.024000260000000002	0.00366012	0.028765301848567477	0.01332058781979909	0.024481253944315953	0.01396031	0.01396031	0.00216762	0.016677382134861578	0.007768510763478841	0.014193601350659106	0.041261825	0.041261825	0.00618025	0.04961283915440892	0.022842103180723838	0.042223944689739897									0.00366012;0.0443404	0.00216762;0.025753	0.00618025;0.0763434	1	1	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	1	563369	ENSDARG00000056587	0.00366012	0.00366012		0.00216762	0.00216762		0.00618025	0.00618025		0.00366012	0.00216762	0.00618025	0						Linear,1(0.5);Poly 2,1(0.5)	3.186917699178484	7.591933369636536	1.7337061166763306	5.858227252960205	2.916476864613572	3.795966684818268	-0.015866414399999997	0.06386693439999999	-0.009153362400000002	0.037073982400000004	-0.027498062000000004	0.11002171200000001	CONFLICT	0.5	0.5	0.0	
R-DRE-416476	G alpha (q) signalling events	110	125	1	1	1	1	1	1	1	1	1	16	124	4761	0.93163	0.35587	0.35587	0.8	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-500792	GPCR ligand binding	200	264	1	1	1	1	1	1	1	1	1	16	263	4622	0.76785	0.61043	0.61043	0.38	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-983168	Antigen processing: Ubiquitination & Proteasome degradation	183	193	1	1	0	1	1	1	1	0	0	17	193	4692	0.5046	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-983169	Class I MHC mediated antigen processing & presentation	213	231	2	2	1	1	1	1	2	0	0	17	231	4654	0.43957	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1236975	Antigen processing-Cross presentation	54	65	1	1	1	0	0	0	1	0	0	17	65	4820	0.79668	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-109704	PI3K Cascade	31	31	1	0	0	1	1	1	1	0	0	17	31	4854	0.8976	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-112399	IRS-mediated signalling	31	31	1	0	0	1	1	1	1	0	0	17	31	4854	0.8976	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-190236	Signaling by FGFR	64	64	1	0	0	1	1	1	1	0	0	17	64	4821	0.79949	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	36	36	1	0	0	1	1	1	1	0	0	17	36	4849	0.88204	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2428924	IGF1R signaling cascade	35	35	1	0	0	1	1	1	1	0	0	17	35	4850	0.88514	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2428928	IRS-related events triggered by IGF1R	34	34	1	0	0	1	1	1	1	0	0	17	34	4851	0.88824	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5673001	RAF/MAP kinase cascade	154	157	1	0	0	1	1	1	1	0	0	17	157	4728	0.57447	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5683057	MAPK family signaling cascades	176	180	1	0	0	1	1	1	1	0	0	17	180	4705	0.52885	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5684996	MAPK1/MAPK3 signaling	157	161	1	0	0	1	1	1	1	0	0	17	161	4724	0.56628	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	65	67	2	1	1	2	2	1	2	0	0	17	67	4818	0.79109	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-74751	Insulin receptor signalling cascade	34	34	1	0	0	1	1	1	1	0	0	17	34	4851	0.88824	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-74752	Signaling by Insulin receptor	46	46	1	0	0	1	1	1	1	0	0	17	46	4839	0.85168	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-141424	Amplification of signal from the kinetochores	61	61	1	1	1	1	1	1	1	1	1	16	60	4825	0.98163	0.19202	0.19202	1.64	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	61	61	1	1	1	1	1	1	1	1	1	16	60	4825	0.98163	0.19202	0.19202	1.64	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-194315	Signaling by Rho GTPases	377	394	5	4	4	4	4	3	5	2	2	15	392	4493	0.8485	0.40198	0.64204	0.51	562522;555604	nsl1;nox1	ENSDARG00000024471;ENSDARG00000087574		0.001461297	0.001461297	1.42044E-4	0.001865705484801393	0.0013318480212435846	0.0018567021516160966	9.143031E-4	9.143031E-4	3.41062E-5	0.001244786393538755	8.279355952002666E-4	0.0012387794290221953	0.002449999	0.002449999	5.91578E-4	0.0026282041827989703	0.0022676452736491966	0.0026155212603712393									0.00278055;1.42044E-4	0.0017945;3.41062E-5	0.00430842;5.91578E-4	0	2	0															2	562522;555604	ENSDARG00000024471;ENSDARG00000087574	0.001461297	0.001461297	0.001865705484801393	9.143031E-4	9.143031E-4	0.001244786393538755	0.002449999	0.002449999	0.0026282041827989703	0.00278055;1.42044E-4	0.0017945;3.41062E-5	0.00430842;5.91578E-4	0						Hill,1(0.5);Poly 2,1(0.5)	2.197520164465975	4.405102491378784	2.0537657737731934	2.351336717605591	0.2104144322679695	2.202551245689392	-0.00112443888	0.00404703288	-8.108828239999997E-4	0.002639489024	-0.0011925061599999997	0.0060925041600000006	DOWN	0.0	1.0	0.0	
R-DRE-195258	RHO GTPase Effectors	163	179	3	3	3	2	2	2	3	2	2	15	177	4708	0.97768	0.12611	0.12611	1.12	562522;555604	nsl1;nox1	ENSDARG00000024471;ENSDARG00000087574		0.001461297	0.001461297	1.42044E-4	0.001865705484801393	0.0013318480212435846	0.0018567021516160966	9.143031E-4	9.143031E-4	3.41062E-5	0.001244786393538755	8.279355952002666E-4	0.0012387794290221953	0.002449999	0.002449999	5.91578E-4	0.0026282041827989703	0.0022676452736491966	0.0026155212603712393									0.00278055;1.42044E-4	0.0017945;3.41062E-5	0.00430842;5.91578E-4	0	2	0															2	562522;555604	ENSDARG00000024471;ENSDARG00000087574	0.001461297	0.001461297	0.001865705484801393	9.143031E-4	9.143031E-4	0.001244786393538755	0.002449999	0.002449999	0.0026282041827989703	0.00278055;1.42044E-4	0.0017945;3.41062E-5	0.00430842;5.91578E-4	0						Hill,1(0.5);Poly 2,1(0.5)	2.197520164465975	4.405102491378784	2.0537657737731934	2.351336717605591	0.2104144322679695	2.202551245689392	-0.00112443888	0.00404703288	-8.108828239999997E-4	0.002639489024	-0.0011925061599999997	0.0060925041600000006	DOWN	0.0	1.0	0.0	
R-DRE-2467813	Separation of Sister Chromatids	126	129	1	1	1	1	1	1	1	1	1	16	128	4757	0.92776	0.36499	0.36499	0.78	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-2500257	Resolution of Sister Chromatid Cohesion	78	78	1	1	1	1	1	1	1	1	1	16	77	4808	0.97087	0.239	0.239	1.28	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-2555396	Mitotic Metaphase and Anaphase	153	156	1	1	1	1	1	1	1	1	1	16	155	4730	0.89979	0.42346	0.42346	0.64	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-5663220	RHO GTPases Activate Formins	79	79	1	1	1	1	1	1	1	1	1	16	78	4807	0.97018	0.24169	0.24169	1.27	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-68877	Mitotic Prometaphase	119	119	1	1	1	1	1	1	1	1	1	16	118	4767	0.93731	0.34195	0.34195	0.84	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-68882	Mitotic Anaphase	152	155	1	1	1	1	1	1	1	1	1	16	154	4731	0.90088	0.42139	0.42139	0.65	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-68886	M Phase	233	252	1	1	1	1	1	1	1	1	1	16	251	4634	0.78345	0.5929	0.5929	0.4	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-69618	Mitotic Spindle Checkpoint	75	75	1	1	1	1	1	1	1	1	1	16	74	4811	0.97292	0.2309	0.2309	1.33	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-69620	Cell Cycle Checkpoints	173	187	1	1	1	1	1	1	1	1	1	16	186	4699	0.86452	0.48434	0.48434	0.53	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-9648025	EML4 and NUDC in mitotic spindle formation	69	69	1	1	1	1	1	1	1	1	1	16	68	4817	0.97683	0.21446	0.21446	1.45	562522	nsl1	ENSDARG00000024471		0.00278055	0.00278055	0.00278055		0.0027805500000000006		0.0017945	0.0017945	0.0017945		0.0017945		0.00430842	0.00430842	0.00430842		0.00430842										0.00278055	0.0017945	0.00430842	0	1	0															1	562522	ENSDARG00000024471	0.00278055	0.00278055		0.0017945	0.0017945		0.00430842	0.00430842		0.00278055	0.0017945	0.00430842	0						Poly 2,1(1)	2.0537657737731934	2.0537657737731934	2.0537657737731934	2.0537657737731934	0.0	2.0537657737731934	0.00278055	0.00278055	0.0017945	0.0017945	0.00430842	0.00430842	DOWN	0.0	1.0	0.0	
R-DRE-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	386	403	5	4	4	4	4	3	5	2	2	15	401	4484	0.84094	0.41338	0.64541	0.5	562522;555604	nsl1;nox1	ENSDARG00000024471;ENSDARG00000087574		0.001461297	0.001461297	1.42044E-4	0.001865705484801393	0.0013318480212435846	0.0018567021516160966	9.143031E-4	9.143031E-4	3.41062E-5	0.001244786393538755	8.279355952002666E-4	0.0012387794290221953	0.002449999	0.002449999	5.91578E-4	0.0026282041827989703	0.0022676452736491966	0.0026155212603712393									0.00278055;1.42044E-4	0.0017945;3.41062E-5	0.00430842;5.91578E-4	0	2	0															2	562522;555604	ENSDARG00000024471;ENSDARG00000087574	0.001461297	0.001461297	0.001865705484801393	9.143031E-4	9.143031E-4	0.001244786393538755	0.002449999	0.002449999	0.0026282041827989703	0.00278055;1.42044E-4	0.0017945;3.41062E-5	0.00430842;5.91578E-4	0						Hill,1(0.5);Poly 2,1(0.5)	2.197520164465975	4.405102491378784	2.0537657737731934	2.351336717605591	0.2104144322679695	2.202551245689392	-0.00112443888	0.00404703288	-8.108828239999997E-4	0.002639489024	-0.0011925061599999997	0.0060925041600000006	DOWN	0.0	1.0	0.0	
R-DRE-2132295	MHC class II antigen presentation	27	41	1	1	1	1	1	0	1	0	0	17	41	4844	0.86674	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-196854	Metabolism of vitamins and cofactors	89	90	1	1	0	1	1	1	1	0	0	17	90	4795	0.7294	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9012999	RHO GTPase cycle	251	252	4	3	3	3	3	2	4	1	1	16	251	4634	0.78345	0.5929	0.5929	0.4	555604	nox1	ENSDARG00000087574		1.42044E-4	1.42044E-4	1.42044E-4		1.42044E-4		3.41062E-5	3.41062E-5	3.41062E-5		3.41062E-5		5.91578E-4	5.91578E-4	5.91578E-4		5.91578E-4										1.42044E-4	3.41062E-5	5.91578E-4	0	1	0															1	555604	ENSDARG00000087574	1.42044E-4	1.42044E-4		3.41062E-5	3.41062E-5		5.91578E-4	5.91578E-4		1.42044E-4	3.41062E-5	5.91578E-4	0						Hill,1(1)	2.351336717605591	2.351336717605591	2.351336717605591	2.351336717605591	0.0	2.351336717605591	1.42044E-4	1.42044E-4	3.41062E-5	3.41062E-5	5.91578E-4	5.91578E-4	DOWN	0.0	1.0	0.0	
R-DRE-1630316	Glycosaminoglycan metabolism	76	78	1	1	1	0	0	0	1	0	0	17	78	4807	0.761	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1793185	Chondroitin sulfate/dermatan sulfate metabolism	25	26	1	1	1	0	0	0	1	0	0	17	26	4859	0.91342	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2022870	Chondroitin sulfate biosynthesis	15	16	1	1	1	0	0	0	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-71387	Metabolism of carbohydrates	146	148	3	2	1	2	2	2	3	0	0	17	148	4737	0.59331	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-73894	DNA Repair	166	177	1	1	1	1	1	1	1	1	1	16	176	4709	0.87621	0.4654	0.4654	0.56	553363	fto	ENSDARG00000044216		0.0426408	0.0426408	0.0426408		0.0426408		0.0251485	0.0251485	0.0251485		0.0251485		0.0723	0.0723	0.0723		0.0723										0.0426408	0.0251485	0.0723	1	0	1	553363	ENSDARG00000044216	0.0426408	0.0426408		0.0251485	0.0251485		0.0723	0.0723		0.0426408	0.0251485	0.0723	0															0						Linear,1(1)	1.6114766597747803	1.6114766597747803	1.6114766597747803	1.6114766597747803	0.0	1.6114766597747803	0.0426408	0.0426408	0.0251485	0.0251485	0.0723	0.0723	UP	1.0	0.0	0.0	
R-DRE-8878171	Transcriptional regulation by RUNX1	114	134	1	1	0	1	1	1	1	0	0	17	134	4751	0.62378	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-556833	Metabolism of lipids	339	349	7	6	4	6	6	6	7	3	3	14	346	4539	0.97136	0.11582	0.11582	0.86	563369;541431;103909721	cyp2r1;miga2;fo904880.1	ENSDARG00000056587;ENSDARG00000089357;ENSDARG00000110366		0.01743867	0.00431549	0.00366012	0.023299885948302405	0.01140075138278819	0.01934094163096581	0.010099846666666667	0.00237892	0.00216762	0.013556440125642623	0.006619480188202436	0.011233441153066659	0.030117396666666667	0.00782854	0.00618025	0.04004137551472269	0.01964129556924562	0.03329849242205223									0.00366012;0.00431549;0.0443404	0.00216762;0.00237892;0.025753	0.00618025;0.00782854;0.0763434	2	1	2	541431;103909721	ENSDARG00000089357;ENSDARG00000110366	0.024327945	0.024327945	0.02830188527738126	0.01406596	0.01406596	0.016527970471996858	0.04208597	0.04208597	0.04844732211804695	0.00431549;0.0443404	0.00237892;0.025753	0.00782854;0.0763434	1	563369	ENSDARG00000056587	0.00366012	0.00366012		0.00216762	0.00216762		0.00618025	0.00618025		0.00366012	0.00216762	0.00618025	0						Linear,1(0.34);Poly 2,2(0.67)	2.501289584387356	9.132747411727905	1.5408140420913696	5.858227252960205	2.4388842664038974	1.7337061166763306	-0.00892763303170635	0.04380497303170636	-0.005240709470687246	0.025440402804020577	-0.01519368524034348	0.07542847857367682	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-8978868	Fatty acid metabolism	92	94	1	1	0	1	1	1	1	0	0	17	94	4791	0.71914	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	23	28	1	1	0	1	1	1	1	0	0	17	28	4857	0.90706	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-166658	Complement cascade	26	26	1	1	1	1	1	1	1	1	1	16	25	4860	0.9965	0.086576	0.086576	3.85	492459	colec11	ENSDARG00000013266		0.0646492	0.0646492	0.0646492		0.0646492		0.0309132	0.0309132	0.0309132		0.030913199999999995		0.135202	0.135202	0.135202		0.135202										0.0646492	0.0309132	0.135202	1	0	1	492459	ENSDARG00000013266	0.0646492	0.0646492		0.0309132	0.0309132		0.135202	0.135202		0.0646492	0.0309132	0.135202	0															0						Linear,1(1)	1.7555389404296875	1.7555389404296875	1.7555389404296875	1.7555389404296875	0.0	1.7555389404296875	0.0646492	0.0646492	0.0309132	0.0309132	0.135202	0.135202	UP	1.0	0.0	0.0	
R-DRE-2980736	Peptide hormone metabolism	34	40	1	1	1	1	1	1	1	1	1	16	39	4846	0.99183	0.13022	0.13022	2.5	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
